run_label,scenario,seed,device,sim_time_ms,utilization_fraction
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1025.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1025.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1025.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1025.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1050.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1050.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1050.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1050.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1050.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1075.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1075.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1075.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1075.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1075.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1100.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1100.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1100.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1100.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1100.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1125.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1125.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1125.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1125.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1125.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1150.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1150.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1150.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1150.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1150.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1175.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1175.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1175.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1175.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1175.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1200.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1200.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1200.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1200.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1200.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1225.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1225.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1225.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1225.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1225.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1250.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1250.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1250.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1250.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1250.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1275.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1275.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1275.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1275.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1275.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1300.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1300.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1300.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1300.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1300.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,cloud,1325.000,0.040000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,proxy,1325.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-1,1325.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-2,1325.000,0.000000
CLOUD_ONLY_seed1,CLOUD_ONLY,1,fog-3,1325.000,0.000000
